 X,Y,Z,VX,VY,VZ,D,Masa,RHO
 -1.36384792541141033E-002 ,  2.84863646751208838E-003 , -3.57767486012079531E-004 ,  -481.15172431560927      ,  -187.06549954176305      ,  -15.103092760867067      ,  1.39373901309745914E-002 ,  1.22020495369140616E-006 ,  1.18526970537641001E-017
 -1.15582383231408229E-003 , -2.56085934183406666E-002 , -4.93251526351752480E-003 ,  -172.39817312953957      ,  -2795.1100269393100      ,  -873.01351490224431      ,  2.61048978627011589E-002 ,  1.70508168652563257E-005 ,  7.23592711649400002E-019
  3.07357652435671924E-003 ,  8.42415407892731260E-005 , -8.42348910940447673E-004 ,   202.40636397553479      ,   781.14562733398202      ,  -54.848197568014001      ,  3.18802775647167779E-003 ,  6.84367324197114536E-004 ,  5.03359104721566758E-017
  9.39181163928594874E-003 , -1.70033669661037354E-003 , -9.33121419573223468E-004 ,  -260.79802526417194      ,   432.65731676447950      ,  -186.81387875153794      ,  9.58999407368603396E-003 ,  5.37305860147299489E-004 ,  5.52163540726230365E-017
  1.64643868929158265E-003 , -2.89251183570196331E-003 , -8.12116812812131174E-004 ,   139.86924232923440      ,   535.04091817326071      ,   114.11659816159521      ,  3.42591867897127115E-003 ,  6.74053598636816854E-004 ,  2.97989132079467022E-015
  9.05489273745966293E-003 ,  2.10189913596211843E-002 ,  2.59772294851092836E-002 ,   85.113016174516943      ,   366.00620885651057      ,   657.05050880982662      ,  3.46208828885798472E-002 ,  6.09333618750831159E-004 ,  2.68653418840632278E-020
 -1.27778696070698430E-002 , -3.45736044216325700E-003 ,  2.54110615048766053E-003 ,  -55.439091547016915      ,  -599.00593000659114      ,  -84.120163548196544      ,  1.34790397799828734E-002 ,  9.50716580337724487E-004 ,  6.65623651181071605E-018
  9.59067143742339985E-003 , -4.35033847712058309E-003 , -6.51134988972675282E-004 ,   44.830693703550963      ,   305.00060575236586      ,   128.28041126604023      ,  1.05513222043490500E-002 ,  2.77266075999236768E-004 ,  2.75280174524927965E-017
 -1.88248865295452608E-002 ,  7.43837856194327473E-003 ,  1.22835499997584483E-003 ,  -597.39048791542371      ,  -134.52395881786208      ,   120.93445978011491      ,  2.02784290438632747E-002 ,  4.92068681116345852E-004 ,  4.72702059072404962E-018
  4.64589930650612841E-004 ,  3.49302346766331060E-005 , -1.06807302002507091E-003 ,  -213.63059034820159      ,  -178.12604634413481      ,   196.69115948198657      ,  1.16526559249897259E-003 ,  8.23416616100553487E-004 ,  4.75284935359740199E-016
 -1.24471653757489715E-002 ,  3.99958974492927149E-003 , -1.02355040536685773E-003 ,  -402.64482853489665      ,  -231.81086843585044      ,   163.96415544323318      ,  1.31139734425274046E-002 ,  9.27783910439343548E-004 ,  1.91449753818173272E-017
  4.16585315247217092E-003 ,  5.11364065607743026E-003 , -3.50397950831958906E-003 ,   334.28410196078812      ,   262.60981792892193      ,  -457.60427967032865      ,  7.46870307631612371E-003 ,  3.96365617340500528E-004 ,  4.47133387857397561E-018
 -3.49253912523202594E-003 , -3.32764140049023852E-004 , -8.44708036975175530E-004 ,  -388.32994181242242      ,  -618.94538971068846      ,   1.7257658743465276      ,  3.60861374795218379E-003 ,  2.00721256350862499E-004 ,  4.43750047897230543E-017
  8.00117986593643603E-003 , -1.53766963608405237E-003 , -3.77395438407724651E-003 ,  -77.425086964286535      ,  -69.731153863358799      ,  -9.3366037463401277      ,  8.97920034579345605E-003 ,  7.28373942132494782E-004 ,  1.92272105260734313E-017
 -1.40124018247899419E-002 ,  1.70308192454718087E-002 ,  6.03555344414948274E-003 ,  -1025.3959296096489      ,   1251.7801197073409      ,   1055.7905708296137      ,  2.28653474596056394E-002 ,  4.49663563365395669E-004 ,  6.13897107493343048E-019
 -2.40878617849587173E-003 , -5.14151335334026623E-003 , -3.17098938474752966E-004 ,   377.76643528492269      ,  -326.66220515822425      ,   66.839522291269816      ,  5.68664770783902478E-003 ,  1.97099790918478502E-004 ,  7.34519170603586867E-017
 -5.28572321462747029E-003 , -7.47878157949484739E-003 ,  4.92608797917606076E-004 ,   528.44119235519508      ,  -39.405590363594335      ,   108.78037542074782      ,  9.17135253074643532E-003 ,  5.13344156603178176E-005 ,  2.01155225266812013E-017
 -3.33283637894839571E-003 ,  3.16916095762467007E-004 , -1.54027776522427289E-003 ,  -491.32821044181435      ,  -624.01965122091212      ,  -116.03147234461130      ,  3.68519873746850444E-003 ,  4.24847952586681363E-004 ,  3.87514781159239395E-017
 -2.09118088904230526E-003 , -1.73694079268988284E-002 ,  2.88317153480076045E-003 ,  -103.61755922041459      ,  -1460.1091474179595      ,   424.51020899193344      ,  1.77308219589729400E-002 ,  1.06758781410272829E-005 ,  1.12290403977517976E-018
  2.97204044161063696E-003 , -2.20698172391927648E-002 , -1.78348411188554642E-002 ,   353.98317421796349      ,  -728.98425585448308      ,  -1002.0165459043268      ,  2.85305347845559477E-002 ,  3.71993554993166483E-004 ,  1.62036058934635626E-019
 -1.11128689893116514E-003 ,  3.85070576099762348E-004 , -1.03441948377192309E-003 ,  -222.65421044842162      ,  -469.47401440253884      ,   49.052771047417046      ,  1.56628911402742640E-003 ,  1.70678460442307933E-004 ,  1.57341612658083623E-016
  2.98266277507180065E-002 ,  1.40748404996698332E-002 ,  9.34550625680590809E-003 ,   634.32587883330916      ,   327.78933019106404      ,   329.41049581719767      ,  3.42792553196105201E-002 ,  1.11368487755393273E-005 ,  9.11833580480012919E-020
 -3.55495274773479260E-003 , -4.94218947375670101E-003 , -5.44337886787742945E-004 ,   328.97321638514353      ,  -362.46233175949965      ,   40.141210034092772      ,  6.11221969239745481E-003 ,  1.71382245133608541E-004 ,  6.45753011017001418E-017
  2.18347283482316669E-002 ,  1.35288756500272465E-002 , -3.94717062317951131E-003 ,   469.98752347432350      ,   463.95102189312087      ,  -84.160635380512844      ,  2.59878047230516010E-002 ,  2.99473928869574543E-004 ,  2.05892211897383734E-019
 -3.16029871195886297E-002 , -6.24940761935310202E-003 , -6.02306788697695283E-003 ,  -398.79752715135123      ,  -98.376659415233036      ,  -264.33460263317028      ,  3.27731786258953911E-002 ,  4.27169893745159128E-004 ,  4.14769550252157315E-019
 -2.30553150681095248E-002 ,  1.12458159152479514E-002 ,  2.78037608766668783E-002 ,  -137.98283111748952      ,   213.83737942683138      ,   784.53383559537360      ,  3.78294203944008894E-002 ,  8.87131844865767286E-004 ,  3.28786405534093383E-020
 -1.01201298982140434E-002 ,  7.52059417565164711E-003 , -1.76103463222682588E-003 ,  -562.69470931162823      ,  -243.91452252060915      ,  -65.641783454981621      ,  1.27309704613385050E-002 ,  4.43079282120547604E-004 ,  4.30659273634909879E-017
 -2.53693787755030452E-002 , -6.59866560476786890E-004 , -8.51032410182394499E-004 ,  -391.66004039055537      ,  -222.81239515148823      ,  -137.26241266184428      ,  2.53922243904656890E-002 ,  8.98972967146408097E-005 ,  4.83202926832584468E-019
  3.48246358067988535E-004 , -4.28876923383104806E-004 , -1.05068978014100024E-003 ,  -445.62198200544913      ,  -107.96472135562516      ,  -97.606402328815747      ,  1.18708043342097020E-003 ,  8.67912051475971578E-004 ,  6.38752583972434226E-017
  1.56031625643033300E-002 , -6.43419978445109592E-003 , -1.02486260953587455E-003 ,   329.71825412297778      ,   301.84262676372543      ,  -126.84460716787748      ,  1.69088128572863483E-002 ,  6.89009673636341996E-004 ,  1.47882697677842688E-017
  1.15793444857895163E-002 ,  6.95246993734786032E-004 , -1.44859066100344884E-003 ,  -237.42877010008485      ,   366.42318788634918      ,  -253.64975236867755      ,  1.16902952061112529E-002 ,  2.24029046381090909E-004 ,  1.34283403491093769E-017
 -4.31519620983706644E-003 , -4.98525331145413791E-003 , -9.98629713522280983E-004 ,   138.71368559922450      ,  -576.04209570994328      ,  -15.333967877715866      ,  6.66865280348933904E-003 ,  4.81430175165013750E-006 ,  3.99411730729099860E-017
  6.03753670619791311E-003 ,  7.37357246591917488E-003 , -1.78377830095497055E-003 ,  -169.72971845639660      ,   349.65940371737969      ,  -160.95110760617735      ,  9.69552914573548752E-003 ,  9.79747253924679457E-004 ,  5.17757719132653965E-018
